               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058555,             0.02814,            0.037483,             0.29149,             0.10846,             0.15188,            0.065597,            0.020353,            0.010649,             0.01805,            0.070769,           0.0032479,           0.0032479
                   1,            0.043087,            0.022112,             0.03692,             0.15404,             0.37604,             0.17822,            0.091218,            0.019779,           0.0064819,             0.01626,            0.040639,           0.0064509,           0.0064509
                   2,            0.038162,            0.019349,            0.036378,             0.16616,             0.50827,             0.26044,             0.12111,            0.018649,            0.005875,            0.015738,            0.010377,           0.0095219,           0.0095219
                   3,             0.03528,            0.018215,            0.035027,              0.2006,             0.46006,              0.2458,              0.1118,            0.017456,            0.006358,            0.015408,            0.009406,            0.009406,            0.009406
                   4,            0.031992,             0.01671,            0.033806,             0.20436,             0.28506,              0.2393,             0.13089,            0.011715,           0.0059509,            0.015784,            0.009406,            0.009406,            0.009406
                   5,            0.028684,            0.016637,            0.033939,             0.23085,             0.65758,             0.30711,             0.16391,             0.01138,           0.0054277,             0.01507,            0.009208,            0.009208,            0.009208
                   6,            0.025661,            0.017084,            0.033166,             0.23033,             0.54215,             0.39871,             0.14687,            0.015631,           0.0052353,            0.015331,             0.00901,             0.00901,             0.00901
                   7,            0.024619,            0.016014,            0.031354,             0.35598,             0.57056,              0.4071,             0.21399,            0.010954,           0.0051859,            0.014584,            0.008812,            0.008812,            0.008812
                   8,            0.023326,             0.01579,            0.030834,             0.27997,             0.68957,             0.45816,             0.25122,            0.011339,            0.004438,            0.014667,            0.008614,            0.008614,            0.008614
                   9,            0.021226,            0.015046,            0.028922,             0.36236,                0.55,             0.36863,             0.15957,            0.014729,           0.0051656,            0.014337,            0.008416,            0.008416,            0.008416
                  10,             0.02295,            0.014728,            0.027794,             0.50039,              0.5751,             0.52963,             0.25461,            0.012074,           0.0051932,            0.014127,            0.008218,            0.008218,            0.008218
                  11,            0.021868,            0.014598,            0.026988,             0.40643,             0.51322,             0.47174,             0.23044,            0.012208,           0.0051788,            0.014594,             0.00802,             0.00802,             0.00802
                  12,            0.022603,            0.015095,            0.028277,              0.5721,             0.61254,                0.62,             0.37573,           0.0085287,           0.0049389,            0.011925,            0.007822,            0.007822,            0.007822
                  13,             0.02321,            0.014528,            0.028011,             0.48586,              0.5566,             0.55155,             0.23853,            0.014543,           0.0053684,            0.012717,            0.007624,            0.007624,            0.007624
                  14,            0.023547,            0.014844,            0.026629,             0.51023,             0.65381,             0.61337,             0.35037,           0.0090503,           0.0052317,             0.01263,            0.007426,            0.007426,            0.007426
                  15,            0.021585,            0.014202,            0.025017,             0.53685,             0.67805,             0.64316,             0.33927,            0.011247,           0.0049743,            0.012057,            0.007228,            0.007228,            0.007228
                  16,            0.024207,            0.014025,            0.024514,             0.52546,             0.63693,             0.63727,             0.36035,           0.0099689,           0.0051335,            0.013998,             0.00703,             0.00703,             0.00703
                  17,            0.019509,            0.013523,            0.022962,             0.54581,             0.70386,              0.6038,             0.34382,            0.010884,           0.0044598,            0.012506,            0.006832,            0.006832,            0.006832
                  18,            0.020265,            0.013589,            0.022665,             0.64134,             0.60929,             0.71795,             0.42167,           0.0095372,           0.0046606,            0.010382,            0.006634,            0.006634,            0.006634
                  19,             0.01914,            0.013644,            0.021101,             0.66389,             0.65015,             0.67385,              0.3919,            0.010202,           0.0049737,            0.011732,            0.006436,            0.006436,            0.006436
                  20,             0.01905,            0.014055,            0.021423,             0.68009,             0.54215,             0.64156,             0.34158,            0.012417,           0.0044155,            0.011229,            0.006238,            0.006238,            0.006238
                  21,            0.019673,            0.013763,            0.021266,             0.55126,             0.63014,             0.61873,             0.35279,            0.011164,           0.0050093,            0.011728,             0.00604,             0.00604,             0.00604
                  22,            0.020358,            0.013999,            0.020716,             0.44881,             0.71166,             0.64215,             0.34962,            0.010952,           0.0046783,            0.011755,            0.005842,            0.005842,            0.005842
                  23,            0.018452,             0.01338,            0.019557,             0.52296,               0.716,             0.62279,             0.32776,            0.011224,           0.0042226,            0.011023,            0.005644,            0.005644,            0.005644
                  24,            0.018397,            0.012997,             0.01881,             0.60532,              0.6581,             0.64534,             0.34517,            0.011313,           0.0043919,            0.010904,            0.005446,            0.005446,            0.005446
                  25,            0.018909,            0.012747,            0.018949,             0.60772,              0.6751,             0.65236,             0.36823,            0.010571,           0.0045919,            0.012213,            0.005248,            0.005248,            0.005248
                  26,            0.019709,            0.012648,            0.018557,             0.56111,             0.60527,             0.67171,             0.37181,            0.011167,           0.0044904,            0.010909,             0.00505,             0.00505,             0.00505
                  27,            0.019635,             0.01292,            0.018471,             0.62553,             0.61977,              0.6798,             0.35515,            0.011032,           0.0044314,            0.010176,            0.004852,            0.004852,            0.004852
